Editora,ISBN,Ano,Edição,Origem,Encadernação,Idioma,País,Páginas,preço,nome,categoria,Autores
PERSPECTIVA,8527305232,1979,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,196,49.9,"ESCRAVIDÃO, REFORMA E IMPERIALISMO",HISTÓRIA,RICHARD GRAHAM
RECORD,8501072125,2006,1,USADO,BROCHURA,PORTUGUÊS,BRASIL,364,39.95,COMO A PICARETAGEM CONQUISTOU O MUNDO,HISTÓRIA,FRANCIS WHEEN
BOOKMAN COMPANHIA ED,8582604432,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,688,330.0,GEOSSISTEMAS,GEOGRAFIA,GINGER H. BIRKELAND; ROBERT CHRISTOPHERSON
OUTRA,0,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,223,135.45,EARTH VIEW,GEOGRAFIA,DESCONHECIDO
CONTEXTO,8572443533,2007,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,256,49.9,O BRASIL NO CONTEXTO (1987 - 2007),HISTÓRIA,VARIOS AUTORES
CONTEXTO,8572444599,2010,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,272,79.9,ELES FORMARAM O BRASIL,HISTÓRIA,FABIO PESTANA RAMOS; MARCUS VINICIUS DE MORAIS
VIDE EDITORIAL,6599239226,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,132,39.9,COLORINDO A IDADE MÉDIA - LIVRO PARA COLORIR E CONHECER A VIDA MEDIEVAL,HISTÓRIA,ANDREY COQUEIRO
CONTEXTO,857244968X,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,240,49.9,OS ESCANDINAVOS,HISTÓRIA,PAULO GUIMARAES
MADRAS,8537007609,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,256,36.9,ESPADAS SACRAS,HISTÓRIA,JAMES WATERSON
CRÍTICA,6555352167,2020,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,576,86.9,SPQR,HISTÓRIA,MARY BEARD
APPRIS,855370047X,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,405,82.0,BRECHÓ: ESTUDOS DE HISTÓRIA POLÍTICA E HISTORIOGRAFIA,HISTÓRIA,ANGELA DE CASTRO GOMES
OUTRA,0,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,223,30.0,BRASIL - INDIA - AFRICA DO SUL - EMERGENCIA DO SUL,HISTÓRIA,DESCONHECIDO
BIBLIOTECA AZUL,655830032X,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,392,44.9,LUTANDO NA ESPANHA,HISTÓRIA,GEORGE ORWELL
